,all_pvalue
1,0.510244877561219
2,1
3,1
4,0.495752123938031
5,0.274362818590705
6,0.335832083958021
7,0.0149925037481259
8,0.015992003998001
9,1
10,0.507246376811594
11,0.510244877561219
12,0.494252873563218
13,0.863068465767116
14,0.503748125937031
15,0.303348325837081
16,0.48575712143928
17,0.746626686656672
18,0.508745627186407
19,0.134432783608196
20,0.338830584707646
21,0.705147426286857
22,0.509245377311344
23,0.748625687156422
24,0.496751624187906
25,0.0154922538730635
26,0.0344827586206897
27,1
28,0.499250374812594
29,0.500249875062469
30,0.48575712143928
31,0.487256371814093
32,0.833583208395802
33,0.500249875062469
34,0.480759620189905
35,0.497751124437781
36,0.495752123938031
37,0.508745627186407
38,0.500249875062469
39,0.116441779110445
40,0.479260369815092
41,0.694152923538231
42,0.039480259870065
43,0.48575712143928
44,0.0379810094952524
45,0.0384807596201899
46,0.486756621689155
47,0.0079960019990005
48,0.494752623688156
49,0.127936031984008
50,0.427286356821589
