"","x"
"B_1132","B"
"B_1105","B"
"B_1079","B"
"B_1133","B"
"A_1088","A"
"B_1136","B"
"A_1126","A"
"A_1109","A"
"B_1067","B"
"B_1127","B"
"A_1145","A"
"B_1104","B"
"B_1101","B"
"B_1120","B"
"B_1077","B"
"B_1084","B"
"B_1137","B"
"A_1118","A"
"B_1064","B"
"B_1092","B"
"A_1117","A"
"B_1123","B"
"A_1055","A"
"B_1071","B"
"B_1129","B"
"B_1073","B"
"A_1141","A"
"A_1072","A"
"A_1068","A"
"B_1147","B"
"B_1140","B"
"A_1070","A"
"A_1111","A"
"A_1080","A"
"B_1142","B"
"B_1091","B"
"A_1150","A"
"B_1087","B"
"B_1085","B"
"A_1051","A"
"B_1122","B"
"B_1106","B"
"B_1102","B"
"A_1090","A"
"B_1059","B"
"A_1146","A"
"A_1086","A"
"B_1081","B"
"B_1107","B"
"A_1131","A"
"B_1100","B"
"B_1078","B"
"B_1128","B"
"A_1112","A"
"A_1058","A"
"A_1108","A"
"B_1056","B"
"A_1139","A"
"A_1075","A"
"A_1094","A"
"A_1143","A"
"A_1097","A"
"A_1110","A"
"B_1069","B"
"A_1074","A"
"B_1060","B"
"A_1119","A"
"A_1093","A"
"A_1125","A"
"B_1134","B"
"B_1113","B"
"B_1053","B"
"A_1098","A"
"B_1057","B"
"A_1062","A"
"B_1083","B"
"A_1095","A"
"B_1052","B"
"A_1148","A"
"B_1115","B"
"B_1099","B"
"A_1138","A"
"B_1130","B"
"A_1065","A"
"A_1066","A"
"B_1135","B"
"B_1063","B"
"B_1054","B"
"A_1076","A"
"B_1096","B"
"B_1061","B"
"A_1144","A"
"B_1082","B"
"B_1103","B"
"B_1124","B"
"B_1089","B"
"A_1116","A"
"A_1121","A"
"A_1149","A"
"A_1114","A"
